name	type	supertype	subtype	race	class	talent	faction	keywords	allowedtalent	allowedclass	cost	strikecost	rules	flavor	atk	atktype	health	def	number	rarity	artistname	artisturl	setname
Auralyn the Light of Dawn	Hero			Human	Paladin		Alliance						"FRONT: 4 -> Flip Auralyn<br>BACK: <b>Mend 2 </b><i>(At the start of your turn, Auralyn may heal 2 damage from target hero or ally.)</i>"				29		1	U			ToD
Bladesinger Alyssa	Hero			Worgen	Rogue		Alliance						"FRONT: 5 -> Flip Alyssa<br>BACK: When Alyssa deals combat damage to an ally, she also deals that much melee damage to target hero in that ally's party."				27		2	U			ToD
Deragor the Earthsworn	Hero			Dwarf	Shaman		Alliance						"FRONT: 6 -> Flip Deragor<br>BACK: At the start of your turn, target up to three heroes and/or allies. Deragor heals 3, 2, and 1 damage from them, respectively."				28		3	U			ToD
"Jasmia, Nature's Chosen"	Hero			Worgen	Druid		Alliance						"FRONT: 4 -> Flip Jasmia<br>BACK: When an ally enters play under your control, Jasmia may heal all damage from another target ally."				27		4	U			ToD
Kavar the Bloodthirsty	Hero			Worgen	Death Knight		Alliance						"FRONT: 4 -> Flip Kavar<br>BACK: At the start of your turn, you may exhaust target card."				29		5	U			ToD
Nomak the Blazingclaw	Hero			Worgen	Mage		Alliance						"FRONT: 4 -> Flip Nomak<br>BACK: When Nomak deals fire ([Fire]) damage for the first time on each of your turns, allies you control have <b>Assault 1</b> this turn."				25		6	U			ToD
Soul-Eater Morgania	Hero			Worgen	Warlock		Alliance						"FRONT: 2 -> Flip Morgania<br>BACK: When an opposing ally is destroyed, Morgania heals 1 damage from herself."				28		7	U			ToD
Trilik the Light's Spark	Hero			Gnome	Priest		Alliance						FRONT: 4 -> Flip Trilik<br>BACK: You pay 1 less to play your first ally each turn.				26		8	U			ToD
Vad of the Four Winds	Hero			Worgen	Warrior		Alliance						"FRONT: 4 -> Flip Vad<br>BACK: At the end of your turn, you may ready Vad."				30		9	U			ToD
Zane the Sniper	Hero			Human	Hunter		Alliance						FRONT: 2 -> Flip Zane<br>BACK: You pay 1 less to strike with Ranged weapons.				28		10	U			ToD
Amah the Sun's Grace	Hero			Tauren	Paladin		Horde						"FRONT: 4 -> Flip Amah<br>BACK: At the start of your turn, Amah may heal 1 damage from herself and 1 damage from target ally."				30		11	U			ToD
Amaxi the Cruel	Hero			Goblin	Warlock		Horde						"FRONT: 4 -> Flip Amaxi<br>BACK: If an opposing ally would be destroyed by fatal damage, you may remove it from the game instead."				28		12	U			ToD
Dar'thael the Bloodsworn	Hero			Blood Elf	Warrior		Horde						FRONT: 4 -> Flip Dar'thael<br>BACK: <b>Protector </b><i>(Dar'thael may exhaust to become the defender when an opposing hero or ally attacks.)</i>				30		13	U			ToD
Dragonslayer Drux	Hero			Goblin	Death Knight		Horde						"FRONT: 4 -> Flip Drux<br>BACK: When an opposing ally is destroyed, Drux may deal 1 frost damage to target hero."				29		14	U			ToD
